name	country_id
Alabama	us
Alaska	us
American Samoa	us
Arizona	us
Arkansas	us
California	us
Colorado	us
Connecticut	us
Delaware	us
District of Columbia	us
Florida	us
Georgia	us
Guam	us
Hawaii	us
Idaho	us
Illinois	us
Indiana	us
Iowa	us
Kansas	us
Kentucky	us
Louisiana	us
Maine	us
Maryland	us
Massachusetts	us
Michigan	us
Minnesota	us
Mississippi	us
Missouri	us
Montana	us
Nebraska	us
Nevada	us
New Hampshire	us
New Jersey	us
New Mexico	us
New York	us
North Carolina	us
North Dakota	us
Northern Mariana Islands	us
Ohio	us
Oklahoma	us
Oregon	us
Pennsylvania	us
Puerto Rico	us
Rhode Island	us
South Carolina	us
South Dakota	us
Tennessee	us
Texas	us
U.S. Virgin Islands	us
Utah	us
Vermont	us
Virginia	us
Washington	us
West Virginia	us
Wisconsin	us
Wyoming	us
